row_index,country,date,file_name,link,region,story,title,story_id,country_simple,story_title,story_link,lat,lng,250topics_NER,Topic,category2,category,category3,week_year
0,Across Regions,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,AP - http://bigstory.ap.org/article/un-report-violence-part-life-worlds-youth,General,"A new report from UNICEF says that young people from around the world are routinely exposed to violence, ranging from homicide and forced sexual acts to bullying and abusive discipline from parents. The report found that in 2012 alone almost 95,000 children and adolescents were murdered, making it the leading cause of death among people under the age of 20. The study also finds that about six in 10 children worldwide between the ages of two and 14 -- numbering almost one billion -- are subjected to physical punishment by their caregivers on a regular basis. The report drew on data from 190 countries and was released Thursday.",Violence part of life for world's youth  UNICEF report,36,,Violence part of life for world's youth  UNICEF report,AP - http://bigstory.ap.org/article/un-report-violence-part-life-worlds-youth,0.0,0.0,"[(6, 0.03732944660429937), (19, 0.49283076880031756), (33, 0.13758012632178707), (60, 0.097633125863739095), (160, 0.12694389650310103), (191, 0.051465230820576503), (193, 0.033612753923396819)]",19,,Political/social unrest,,0/35/2014
1,Across Regions,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,IRIN - http://www.irinnews.org/report/100574/concern-over-bangladesh-move-to-repatriate-rohingyas-to-myanmar,General,"Bangladesh announced this week that it will send back over 2,000 Muslim Rohingya refugees to Myanmar, stoking concerns about the prospect of returning them to an increasingly dire situation. ""Myanmar has agreed to repatriate some 2,415 Myanmar nationals who are living in the refugee camps in Cox's Bazar [southeastern Bangladesh],"" Shahidul Haque, secretary at the Ministry of Foreign Affairs in Dhaka, said. ""We consider it a major breakthrough. They have remained verified [for repatriation] since 2005."" According to UNHCR, there are 200,000 to 500,000 Rohingyas in Bangladesh, of whom only 32,355 are documented and living in two government camps assisted by the agency, both within 2km of Myanmar. Most live in informal settlements or towns and cities in what MSF has described as ""deplorable conditions.""",Concern over Bangladesh move to repatriate Rohingyas to Myanmar,37,,Concern over Bangladesh move to repatriate Rohingyas to Myanmar,IRIN - http://www.irinnews.org/report/100574/concern-over-bangladesh-move-to-repatriate-rohingyas-to-myanmar,0.0,0.0,"[(36, 0.85406055056896668), (159, 0.046896970282704398), (220, 0.082296716436472281)]",36,,Political/social unrest,,0/35/2014
2,Across CEE/CIS,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,NYT - http://www.nytimes.com/2014/09/05/world/europe/shellshocked-ukrainians-flee-to-a-new-life-in-russia.html?_r=0,Central and Eastern Europe and the Commonwealth of Independent States,"More than a million Ukrainians have been displaced because of the war, the United Nations said in a recent report, and hundreds of thousands of them have found their way into Russia. Faced with that influx, Russia is promoting a huge resettlement program and encouraging refugees to put down roots in far-flung cities across the country. A Russian deputy prime minister said that 50,000 Ukrainian children had been enrolled in Russian schools.",Ukrainians flee to new lives in Russia,38,,Ukrainians flee to new lives in Russia,NYT - http://www.nytimes.com/2014/09/05/world/europe/shellshocked-ukrainians-flee-to-a-new-life-in-russia.html?_r=0,0.0,0.0,"[(83, 0.2191245143331382), (91, 0.17980983477230603), (218, 0.034252866850638414), (220, 0.24574998876220025), (232, 0.29223926586988747)]",232,conflict,population displacement,,0/35/2014
3,Across CEE/CIS,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,RFE/RL - http://www.rferl.org/content/nagorno-karabakh-/26567727.html,Central and Eastern Europe and the Commonwealth of Independent States,"The US Secretary of State has expressed ""strong concern"" to the leaders of Armenia and Azerbaijan over recent violence around the disputed Nagorno-Karabakh region. He met with the Armenian President and the Azerbaijani President on the sidelines of a NATO summit in Wales. They discussed efforts to resolve the conflict over Nagorno-Karabakh after ""the deadliest period in the conflict since the 1994 cease-fire took effect,"" a State Department statement said. Exchanges of gunfire early last month killed more than 20 people.",Leaders discuss Nagorno-Karabakh conflict,39,,Leaders discuss Nagorno-Karabakh conflict,RFE/RL - http://www.rferl.org/content/nagorno-karabakh-/26567727.html,0.0,0.0,"[(5, 0.082547463188431799), (9, 0.11069077958630767), (35, 0.08669437194246879), (86, 0.10497954948128942), (103, 0.044781332794487302), (113, 0.050386015450697895), (160, 0.046739051603348923), (163, 0.062982444508609514), (183, 0.15648833460892428), (188, 0.093784598181530343), (226, 0.13476816255922019)]",183,,Political/social unrest,,0/35/2014
4,Serbia/Kosovo,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,AP - http://abcnews.go.com/International/wireStory/police-kosovo-target-suspected-islamic-radicals-25245510,Central and Eastern Europe and the Commonwealth of Independent States,"Kosovo police say they are questioning a cleric and have searched 10 locations including offices of two organizations believed to fund radicals. Police said that the cleric, identified by Kosovo media as Shefqet Krasniqi, a leader of prayers in a main mosque in Pristina is suspected of inciting religious hatred. They say electronic devices were seized during the operation conducted in five major cities across Kosovo on Thursday. Last month 40 people were arrested in a major operation targeting Islamic radicals suspected of fighting In Iraq and Syria alongside the Islamic State group. They have been ordered detained for 30 days.",Police in Kosovo target suspected Islamic radicals,40,serbiakosovo,Police in Kosovo target suspected Islamic radicals,AP - http://abcnews.go.com/International/wireStory/police-kosovo-target-suspected-islamic-radicals-25245510,44.016521,21.005859,"[(28, 0.030113197765359968), (43, 0.019344368691733019), (170, 0.93288996748109121)]",170,,conflict,,0/35/2014
5,Ukraine,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Reuters - http://www.dailymail.co.uk/wires/reuters/article-2743703/Rebels-want-monitors-humanitarian-corridor-ceasefire-plan--Interfax.html,Central and Eastern Europe and the Commonwealth of Independent States,"Rebel leaders in eastern Ukraine made proposals for a ceasefire with Kiev on Thursday that echoed a plan outlined by Russian President Vladimir Putin, according to details cited by Russian news agency Interfax. Leaders of the self-declared Donetsk and Luhansk People's Republics proposed the creation of a ""security zone"" split into five sections, each of which would be monitored by 40 observers from the Organization for Security and Cooperation in Europe. Rebels also said they would allow a humanitarian corridor for refugees and aid as part of the proposed ceasefire ""in order to stabilize the situation and stop the bloodshed.""","Rebels want monitors, humanitarian corridor under ceasefire plan",41,ukraine,"Rebels want monitors, humanitarian corridor under ceasefire plan",Reuters - http://www.dailymail.co.uk/wires/reuters/article-2743703/Rebels-want-monitors-humanitarian-corridor-ceasefire-plan--Interfax.html,48.379433,31.16558,"[(35, 0.11921116294008849), (53, 0.18440408506613198), (61, 0.57082860726971785), (91, 0.087369048732010415), (220, 0.019340942145905086)]",61,,Political/social unrest,,0/35/2014
6,Ukraine,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,AP - http://abcnews.go.com/International/wireStory/russia-ukraines-nato-ambitions-threaten-talks-25242055,Central and Eastern Europe and the Commonwealth of Independent States,"Shelling is resounding on the outskirts of a Ukrainian port city as Russian-backed rebels press their offensive in the strategically key southeast just hours ahead of talks that are widely hoped to bring a cease-fire. Reporters heard heavy shelling on 5 September morning north and east of Mariupol. Seizure of the city would give the rebels a strong foothold. A series of explosions were also heard in the main eastern rebel hub of Donetsk overnight, apparently coming from the city's airport, an AFP journalist said.",Shelling moves closer to Mariupol,42,ukraine,Shelling moves closer to Mariupol,AP - http://abcnews.go.com/International/wireStory/russia-ukraines-nato-ambitions-threaten-talks-25242055,48.379433,31.16558,"[(12, 0.029651802854460833), (49, 0.048089403073885324), (104, 0.072319473566499648), (113, 0.080999281053201144), (138, 0.1043520926035247), (161, 0.18292082558887446), (169, 0.15680931920248442), (181, 0.072075286514201947), (204, 0.029873438087967427), (215, 0.034012888815618834), (248, 0.16938598455765194)]",161,,conflict,,0/35/2014
7,Thailand,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,DPA - http://www.presstv.ir/detail/2014/09/05/377746/exthailand-premier-not-indicted/,East Asia and Pacific,"Thailand's Office of the Attorney-General refused to indict ex-premier for dereliction of duty, citing insufficient evidence, an official said on 5 September. The National Anti-Corruption Commission (NACC) earlier found the ex-premier had been negligent in the management of a rice subsidy programme that led to widespread corruption. The NACC forwarded the case to the attorney-general for her indictment, but the office sent it back late on 4 September, saying more supporting evidence was necessary, a representative reported. She was impeached and removed from office in May for assigning a family member to a senior government post.",Attorney-general refuses ex-premier's indictment,44,thailand,Attorney-general refuses ex-premier's indictment,DPA - http://www.presstv.ir/detail/2014/09/05/377746/exthailand-premier-not-indicted/,15.870032,100.992541,"[(42, 0.97834737926387083)]",42,,Political/social unrest,,0/35/2014
8,Ethiopia,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,AP - http://abcnews.go.com/International/wireStory/flooded-ethiopia-refugee-camp-closed-group-25260236,Eastern and Southern Africa,"MSF says a camp in Ethiopia hosting 40,000 refugees from South Sudan is flooded from heavy rains and that it must be abandoned. The NGO said in a statement Friday that the Lietchuor refugee camp in Ethiopia's Gambella region resembles ""a lake dotted with islands."" It said newly constructed mud huts for the refugees are completely flooded and that most patients seen in the camp are suffering from malaria and respiratory infections. About 875,000 of 1.3 million internally displaced South Sudanese are also living in flood-prone areas, according to the UN",Flooded refugee camp to be closed: MSF,45,ethiopia,Flooded refugee camp to be closed: MSF,AP - http://abcnews.go.com/International/wireStory/flooded-ethiopia-refugee-camp-closed-group-25260236,9.145,40.489673,"[(4, 0.028316121042195035), (30, 0.094251133895893485), (64, 0.025610738532484283), (98, 0.044909736739378335), (138, 0.11648952347277539), (140, 0.093379251016072598), (159, 0.036250964805905367), (167, 0.075312192436597161), (220, 0.17329674991514854), (221, 0.23810302045408649), (235, 0.052836122410136147)]",221,,conflict,,0/35/2014
9,Kenya,09/05/2014,UNICEF_OPSCEN_Brief_-_Friday_5_Sept_2014.docx,Reuters - http://www.trust.org/item/20140904134610-zxyfo,Eastern and Southern Africa,"Fast action is needed to prevent a hunger tragedy in Kenya, three years after its last devastating drought, IFRC said on Thursday in an appeal for $9.25 million. The money will be spent on water for humans and livestock, health and nutrition services, school feeding programmes and the distribution of seeds to farmers to plant ahead of expected rains in October, it said. More than a quarter of children in some areas affected by lack of rain are suffering from malnutrition, and the number of Kenyans needing food aid is expected to rise to 1.5 million over the next six months.",Red Cross calls for $9 million to avert drought tragedy,46,kenya,Red Cross calls for $9 million to avert drought tragedy,Reuters - http://www.trust.org/item/20140904134610-zxyfo,-0.023559,37.906193,"[(10, 0.058245350777740477), (74, 0.033272967178901609), (82, 0.060023828780347871), (100, 0.06277765723870829), (103, 0.15757977303679252), (127, 0.021390989619230201), (138, 0.048946112041424558), (153, 0.021185583387810802), (156, 0.074431727237699613), (157, 0.07074794653244984), (160, 0.068319408715537364), (176, 0.10987285855718447), (185, 0.034513063759732912), (220, 0.07515381285371385), (224, 0.067587751639457433), (243, 0.017231168643270053)]",103,Political/social unrest,water insecurity,,0/35/2014
